bMeaningText	bMeaningValueMin	bMeaningValueMax	bSelectable	bConditionTableValue
Undefined	0		true	1
Pointer	1		true	1
Mouse	2		true	1
Reserved	3		false	1
Joystick	4		true	1
Game Pad	5		true	1
Keyboard	6		true	1
Keypad	7		true	1
Reserved	8	2F	false	1
X	30		true	1
Y	31		true	1
Z	32		true	1
Rx	33		true	1
Ry	34		true	1
Rz	35		true	1
Slider	36		true	1
Dial	37		true	1
Wheel	38		true	1
Hat switch	39		true	1
Counted Buffer	3A		true	1
Byte Count	3B		true	1
Motion Wakeup	3C		true	1
Reserved	3D	3F	false	1
Vx	40		true	1
Vy	41		true	1
Vz	42		true	1
Vbrx	43		true	1
Vbry	44		true	1
Vbrx	45		true	1
Vno	46		true	1
Reserved	47	7F	false	1
System Control	80		true	1
System Power Down	81		true	1
System Sleep	82		true	1
System Wake Up	83		true	1
System Context Menu	84		true	1
System Main Menu	85		true	1
System App Menu	86		true	1
System Help Menu	87		true	1
System Menu Exit	88		true	1
System Menu Select	89		true	1
System Menu Right	8A		true	1
System Menu Left	8B		true	1
System Menu Up	8C		true	1
System Menu Down	8D		true	1
Reserved	8E	FFFF	false	1
Undefined	0		true	2
Flight Simulation Device	1		true	2
Automobile Simulation Device	2		true	2
Tank Simulation Device	3		true	2
Spaceship Simulation Device	4		true	2
Submarine Simulation Device	5		true	2
Sailing Simulation Device	6		true	2
Motorcycle Simulation Device	7		true	2
Sports Simulation Device	8		true	2
Airplane Simulation Device	9		true	2
Helicopter Simulation Device	0A		true	2
Magic Carpet Simulation Device	0B		true	2
Bicycle	0C		true	2
reserved	0D	1F	false	2
Flight Control Stick	20		true	2
Flight Stick	21		true	2
Cyclic Control	22		true	2
Cyclic Trim	23		true	2
Flight Yoke	24		true	2
Track Control	25		true	2
Driving Control	26		true	2
reserved	27	AF	false	2
Aileron	B0		true	2
Aileron Trim	B1		true	2
Anti-Torque Control	B2		true	2
Auto-pilot enable	B3		true	2
Chaff Release	B4		true	2
Collective Control	B5		true	2
Dive Brake	B6		true	2
Electronic Counter Measures	B7		true	2
Elevator	B8		true	2
Elevator Trim	B9		true	2
Rudder	BA		true	2
Throttle	BB		true	2
Flight Communication	BC		true	2
Flare Release	BD		true	2
Landing Gear	BE		true	2
Toe Brake	BF		true	2
Trigger	C0		true	2
Weapons Arm	C1		true	2
Weapons Select	C2		true	2
Wing Flaps	C3		true	2
Accelerator	C4		true	2
Brake	C5		true	2
Clutch	C6		true	2
Shifter	C7		true	2
Steering	C8		true	2
Turret Direction	C9		true	2
Barrel Elevation	CA		true	2
Dive Plane	CB		true	2
Ballast	CC		true	2
Bicycle Crank	CD		true	2
Handle Bars	CE		true	2
Front Brake	CF		true	2
Rear Brake	D0		true	2
reserved	D1	FFFF	false	2
Unidentified	0		true	3
Belt	1		true	3
Body Suit	2		true	3
Flexor	3		true	3
Glove	4		true	3
Head Tracker	5		true	3
Head Mounted Display	6		true	3
Hand Tracker 	7		true	3
Oculometer	8		true	3
Vest	9		true	3
Animatronic Device	0A		true	3
Reserved 	0B	1F	false	3
Stereo Enable	20		true	3
Display Enable	21		true	3
Reserved	22	FFFF	false	3
Unidentified	0		true	4
Baseball Bat	1		true	4
Golf Club	2		true	4
Rowing Machine	3		true	4
Treadmill	4		true	4
Reserved	5	2F	false	4
Oar	30		true	4
Slope	31		true	4
Rate	32		true	4
Stick Speed	33		true	4
Stick Face Angle	34		true	4
Stick Heel/Toe	35		true	4
Stick Follow Through	36		true	4
Stick Tempo	37		true	4
Stick Type	38		true	4
Stick Height	39		true	4
Reserved	3A	4F	false	4
Putter	50		true	4
1 Iron	51		true	4
2 Iron	52		true	4
3 Iron	53		true	4
4 Iron	54		true	4
5 Iron	55		true	4
6 Iron	56		true	4
7 Iron	57		true	4
8 Iron	58		true	4
9 Iron	59		true	4
10 Iron	59		true	4
11 Iron	5A		true	4
Sand Wedge	5B		true	4
Loft Wedge	5C		true	4
Power Wedge	5D		true	4
1 Wood	5E		true	4
3 Wood	5F		true	4
5 Wood	60		true	4
7 Wood	61		true	4
9 Wood	62		true	4
reserved	63	FFFF	false	4
Undefined	0		true	5
3D Game Controller	1		true	5
Pinball Device 	2		true	5
Gun Device 	3		true	5
Reserved	4	1F	false	5
Point of View	20		true	5
Turn Right/Left	21		true	5
Pitch Right/Left	22		true	5
Roll Forward/Backward	23		true	5
Move Right/Left	24		true	5
Move Forward/Backward	25		true	5
Move Up/Down	26		true	5
Lean Right/Left	27		true	5
Lean Forward/Backward	28		true	5
Height of POV	29		true	5
Flipper	2A		true	5
Secondary Flipper	2B		true	5
Bump	2C		true	5
New Game	2D		true	5
Shoot Ball	2E		true	5
Player	2F		true	5
Gun Bolt	30		true	5
Gun Clip	31		true	5
Gun Selector	32		true	5
Gun Single Shot	33		true	5
Gun Burst	34		true	5
Gun Automatic	35		true	5
Gun Safety	36		true	5
reserved	37	FFFF	false	5
Reserved (no event indicated)	0		true	7
Keyboard ErrorRollOver	1		true	7
Keyboard POSTFail	2		true	7
Keyboard ErrorUndefine	3		true	7
Keyboard a and A	4		true	7
Keyboard b and B	5		true	7
Keyboard c and C	6		true	7
Keyboard d and D	7		true	7
Keyboard e and E	8		true	7
Keyboard f and F	9		true	7
Keyboard g and G	0A		true	7
Keyboard h and H	0B		true	7
Keyboard i and I	0C		true	7
Keyboard j and J	0D		true	7
Keyboard k and K	0E		true	7
Keyboard l and L	0F		true	7
Keyboard m and M	10		true	7
Keyboard n and N	11		true	7
Keyboard o and O	12		true	7
Keyboard p and P	13		true	7
Keyboard q and Q	14		true	7
Keyboard r and R	15		true	7
Keyboard s and S	16		true	7
Keyboard t and T	17		true	7
Keyboard u and U	18		true	7
Keyboard v and V	19		true	7
Keyboard w and W	1A		true	7
Keyboard x and X	1B		true	7
Keyboard y and Y	1C		true	7
Keyboard z and Z	1D		true	7
Keyboard 1 and !	1E		true	7
Keyboard 2 and @	1F		true	7
Keyboard 3 and #	20		true	7
Keyboard 4 and $	21		true	7
Keyboard 5 and %	22		true	7
Keyboard 6 and ^	23		true	7
Keyboard 7 and &	24		true	7
Keyboard 8 and *	25		true	7
Keyboard 9 and (	26		true	7
Keyboard 0 and )	27		true	7
Keyboard Return (ENTER)	28		true	7
Keyboard ESCAPE	29		true	7
Keyboard DELETE (Backspace)	2A		true	7
Keyboard Tab	2B		true	7
Keyboard Spacebar	2C		true	7
Keyboard - and (underscore)	2D		true	7
Keyboard = and +	2E		true	7
Keyboard [ and {	2F		true	7
Keyboard ] and }	30		true	7
Keyboard \ and |	31		true	7
Keyboard Non-US # and ~	32		true	7
"Keyboard ; and :"	33		true	7
"Keyboard ' and """	34		true	7
Keyboard Grave Accent and Tilde	35		true	7
Keyboard, and <	36		true	7
Keyboard . and >	37		true	7
Keyboard / and ?	38		true	7
Keyboard Caps Lock	39		true	7
Keyboard F1	3A		true	7
Keyboard F2	3B		true	7
Keyboard F3	3C		true	7
Keyboard F4	3D		true	7
Keyboard F5	3E		true	7
Keyboard F6	3F		true	7
Keyboard F7	40		true	7
Keyboard F8	41		true	7
Keyboard F9	42		true	7
Keyboard F10	43		true	7
Keyboard F11	44		true	7
Keyboard F12	45		true	7
Keyboard PrintScreen	46		true	7
Keyboard Scroll Lock	47		true	7
Keyboard Pause	48		true	7
Keyboard Insert	49		true	7
Keyboard Home	4A		true	7
Keyboard PageUp	4B		true	7
Keyboard Delete Forward	4C		true	7
Keyboard End	4D		true	7
Keyboard PageDown	4E		true	7
Keyboard RightArrow	4F		true	7
Keyboard LeftArrow	50		true	7
Keyboard DownArrow	51		true	7
Keyboard UpArrow	52		true	7
Keypad Num Lock and Clear	53		true	7
Keypad /	54		true	7
Keypad *	55		true	7
Keypad -	56		true	7
Keypad +	57		true	7
Keypad ENTER	58		true	7
Keypad 1 and End	59		true	7
Keypad 2 and Down Arrow	5A		true	7
Keypad 3 and PageDn	5B		true	7
Keypad 4 and Left Arrow	5C		true	7
Keypad 5	5D		true	7
Keypad 6 and Right Arrow	5E		true	7
Keypad 7 and Home	5F		true	7
Keypad 8 and Up Arrow	60		true	7
Keypad 9 and PageUp	61		true	7
Keypad 0 and Insert	62		true	7
Keypad . and Delete	63		true	7
Keyboard Non-US \ and |	64		true	7
Keyboard Application	65		true	7
Keyboard Power	66		true	7
Keypad =	67		true	7
Keyboard F13	68		true	7
Keyboard F14	69		true	7
Keyboard F15	6A		true	7
Keyboard F16	6B		true	7
Keyboard F17	6C		true	7
Keyboard F18	6D		true	7
Keyboard F19	6E		true	7
Keyboard F20	6F		true	7
Keyboard F21	70		true	7
Keyboard F22	71		true	7
Keyboard F23	72		true	7
Keyboard F24	73		true	7
Keyboard Execute	74		true	7
Keyboard Help	75		true	7
Keyboard Menu	76		true	7
Keyboard Select	77		true	7
Keyboard Stop	78		true	7
Keyboard Again	79		true	7
Keyboard Undo	7A		true	7
Keyboard Cut	7B		true	7
Keyboard Copy	7C		true	7
Keyboard Paste	7D		true	7
Keyboard Find	7E		true	7
Keyboard Mute	7F		true	7
Keyboard Volume Up	80		true	7
Keyboard Volume Down	81		true	7
Keyboard Locking Caps Lock	82		true	7
Keyboard Locking Num Lock	83		true	7
Keyboard Locking Scroll Lock	84		true	7
Keypad Comma	85		true	7
Keypad Equal Sign	86		true	7
Keyboard Kanji1	87		true	7
Keyboard Kanji2	88		true	7
Keyboard Kanji3	89		true	7
Keyboard Kanji4	8A		true	7
Keyboard Kanji5	8B		true	7
Keyboard Kanji6	8C		true	7
Keyboard Kanji7	8D		true	7
Keyboard Kanji8	8E		true	7
Keyboard Kanji9	8F		true	7
Keyboard LANG1	90		true	7
Keyboard LANG2	91		true	7
Keyboard LANG3	92		true	7
Keyboard LANG4	93		true	7
Keyboard LANG5	94		true	7
Keyboard LANG6	95		true	7
Keyboard LANG7	96		true	7
Keyboard LANG8	97		true	7
Keyboard LANG9	98		true	7
Keyboard Alternate Erase	99		true	7
Keyboard SysReq/Attention	9A		true	7
Keyboard Cancel	9B		true	7
Keyboard Clear	9C		true	7
Keyboard Prior	9D		true	7
Keyboard Return	9E		true	7
Keyboard Separator	9F		true	7
Keyboard Out	A0		true	7
Keyboard Oper	A1		true	7
Keyboard Clear/Again	A2		true	7
Keyboard CrSel/Props	A3		true	7
Keyboard ExSel	A4		true	7
Reserved	A5	DF	false	7
Keyboard LeftControl	E0		true	7
Keyboard LeftShift	E1		true	7
Keyboard LeftAlt	E2		true	7
Keyboard Left GUI	E3		true	7
Keyboard RightControl	E4		true	7
Keyboard RightShift	E5		true	7
Keyboard RightAlt	E6		true	7
Keyboard Right GUI	E7		true	7
Reserved	E8	FFFF	false	7
Undefined	0		true	8
Num Lock	1		true	8
Caps Lock	2		true	8
Scroll Lock	3		true	8
Compose	4		true	8
Kana	5		true	8
Power	6		true	8
Shift	7		true	8
Do Not Disturb	8		true	8
Mute	9		true	8
Tone Enable	0A		true	8
High Cut Filter	0B		true	8
Low Cut Filter	0C		true	8
Equalizer Enable	0D		true	8
Sound Field On	0E		true	8
Surround field On	0F		true	8
Repeat	10		true	8
Stereo	11		true	8
Sampling Rate Detect	12		true	8
Spinning	13		true	8
CAV	14		true	8
CLV	15		true	8
Recording Format Detect	16		true	8
Off-Hook	17		true	8
Ring	18		true	8
Message Waiting	19		true	8
Data Mode	1A		true	8
Battery Operation	1B		true	8
Battery OK	1C		true	8
Battery Low	1D		true	8
Speaker	1E		true	8
Head Set	1F		true	8
Hold	20		true	8
Microphone	21		true	8
Coverage	22		true	8
Night Mode	23		true	8
Send Calls	24		true	8
Call Pickup	25		true	8
Conference	26		true	8
Stand-by	27		true	8
Camera On	28		true	8
Camera Off	29		true	8
On-Line	2A		true	8
Off-Line	2B		true	8
Busy	2C		true	8
Ready	2D		true	8
Paper-Out	2E		true	8
Paper-Jam	2F		true	8
Remote	30		true	8
Forward	31		true	8
Reverse	32		true	8
Stop	33		true	8
Rewind	34		true	8
Fast Forward	35		true	8
Play	36		true	8
Pause	37		true	8
Record	38		true	8
Error	39		true	8
Usage Selected Indicator	3A		true	8
Usage In Use Indicator	3B		true	8
Usage Multi Mode Indicator	3C		true	8
Indicator On	3D		true	8
Indicator Flash	3E		true	8
Indicator Slow Blink	3F		true	8
Indicator Fast Blink	40		true	8
Indicator Off	41		true	8
Flash On Time	42		true	8
Slow Blink On Time	43		true	8
Slow Blink Off Time	44		true	8
Fast Blink On Time	45		true	8
Fast Blink Off Time	46		true	8
Usage Indicator Color	47		true	8
Red	48		true	8
Green	49		true	8
Amber	4A		true	8
Generic Indicator	4B		true	8
Reserved	4C	FFFF	false	8
No Buttons Pressed	0		true	9
Button1	1		true	9
Button2	2		true	9
Button3	3		true	9
Button4	4		true	9
Button5	5		true	9
Button6	6		true	9
Button7	7		true	9
Button8	8		true	9
Button9	9		true	9
Button10	A		true	9
Button11	B		true	9
Button12	C		true	9
Button13	D		true	9
Button14	E		true	9
Button15	F		true	9
Button16	10		true	9
Button17	11		true	9
Button18	12		true	9
Button19	13		true	9
Button20	14		true	9
Button21	15		true	9
Button22	16		true	9
Button23	17		true	9
Button24	18		true	9
Button25	19		true	9
Button26	1A		true	9
Button27	1B		true	9
Button28	1C		true	9
Button29	1D		true	9
Button30	1E		true	9
Button31	1F		true	9
Button32	20		true	9
Button33	21		true	9
Button34	22		true	9
Button35	23		true	9
Button36	24		true	9
Button37	25		true	9
Button38	26		true	9
Button39	27		true	9
Button40	28		true	9
Button41	29		true	9
Button42	2A		true	9
Button43	2B		true	9
Button44	2C		true	9
Button45	2D		true	9
Button46	2E		true	9
Button47	2F		true	9
Button48	30		true	9
Button49	31		true	9
Button50	32		true	9
Button51	33		true	9
Button52	34		true	9
Button53	35		true	9
Button54	36		true	9
Button55	37		true	9
Button56	38		true	9
Button57	39		true	9
Button58	3A		true	9
Button59	3B		true	9
Button60	3C		true	9
Button61	3D		true	9
Button62	3E		true	9
Button63	3F		true	9
Button64	40		true	9
usw.	41	FFFF	false	9
Unused	0		true	A
Instance1	1		true	A
Instance2	2		true	A
Instance3	3		true	A
Instance4	4		true	A
Instance5	5		true	A
Instance6	6		true	A
Instance7	7		true	A
Instance8	8		true	A
Instance9	9		true	A
Instance10	A		true	A
Instance11	B		true	A
Instance12	C		true	A
Instance13	D		true	A
Instance14	E		true	A
Instance15	F		true	A
Instance16	10		true	A
Instance17	11		true	A
Instance18	12		true	A
Instance19	13		true	A
Instance20	14		true	A
Instance21	15		true	A
Instance22	16		true	A
Instance23	17		true	A
Instance24	18		true	A
Instance25	19		true	A
Instance26	1A		true	A
Instance27	1B		true	A
Instance28	1C		true	A
Instance29	1D		true	A
Instance30	1E		true	A
Instance31	1F		true	A
Instance32	20		true	A
Instance33	21		true	A
Instance34	22		true	A
Instance35	23		true	A
Instance36	24		true	A
Instance37	25		true	A
Instance38	26		true	A
Instance39	27		true	A
Instance40	28		true	A
Instance41	29		true	A
Instance42	2A		true	A
Instance43	2B		true	A
Instance44	2C		true	A
Instance45	2D		true	A
Instance46	2E		true	A
Instance47	2F		true	A
Instance48	30		true	A
Instance49	31		true	A
Instance50	32		true	A
Instance51	33		true	A
Instance52	34		true	A
Instance53	35		true	A
Instance54	36		true	A
Instance55	37		true	A
Instance56	38		true	A
Instance57	39		true	A
Instance58	3A		true	A
Instance59	3B		true	A
Instance60	3C		true	A
Instance61	3D		true	A
Instance62	3E		true	A
Instance63	3F		true	A
Instance64	40		true	A
usw.	41	FFFF	false	A
Unassigned	0		true	B
Phone	1		true	B
Answering Machine	2		true	B
Message Controls	3		true	B
Handset	4		true	B
Headset	5		true	B
Telephony Key Pad	6		true	B
Programmable Button	7		true	B
Reserved	8	1F	false	B
Hook Switch	20		true	B
Flash	21		true	B
Feature	22		true	B
Hold	23		true	B
Redial	24		true	B
Transfer	25		true	B
Drop	26		true	B
Park	27		true	B
Forward Calls	28		true	B
Alternate Function	29		true	B
Line	2A		true	B
Speaker Phone	2B		true	B
Conference	2C		true	B
Ring Enable	2D		true	B
Ring Select	2E		true	B
Phone Mute	2F		true	B
Caller ID	30		true	B
Reserved	31	4F	false	B
Speed Dial	50		true	B
Store Number	51		true	B
Recall Number	52		true	B
Phone Directory	53		true	B
Reserved	54	6F	false	B
Voice Mail	70		true	B
Screen Calls	71		true	B
Do Not Disturb	72		true	B
Message	73		true	B
Answer On/Off	74		true	B
Reserved	75	8F	false	B
Inside Dial Tone	90		true	B
Outside Dial Tone	91		true	B
Inside Ring Tone	92		true	B
Outside Ring Tone	93		true	B
Priority Ring Tone	94		true	B
Inside Ringback	95		true	B
Priority Ringback	96		true	B
Line Busy Tone	97		true	B
Reorder Tone	98		true	B
Call Waiting Tone	99		true	B
Confirmation Tone 1	9A		true	B
Confirmation Tone 2	9B		true	B
Tones Off	9C		true	B
Reserved	9D	AF	false	B
Phone Key 0	B0		true	B
Phone Key 1	B1		true	B
Phone Key 2	B2		true	B
Phone Key 3	B3		true	B
Phone Key 4	B4		true	B
Phone Key 5	B5		true	B
Phone Key 6	B6		true	B
Phone Key 7	B7		true	B
Phone Key 8	B8		true	B
Phone Key 9	B9		true	B
Phone Key Star	BA		true	B
Phone Key Pound	BB		true	B
Phone Key A	BC		true	B
Phone Key B	BD		true	B
Phone Key C	BE		true	B
Phone Key D	BF		true	B
Reserved	C0	FFFF	false	B
Unassigned	0		true	C
Consumer Control	1		true	C
Numeric Key Pad	2		true	C
Reserved	4	1F	false	C
10	20		true	C
100	21		true	C
AM/PM	22		true	C
Reserved	23	2F	false	C
Power	30		true	C
Reset	31		true	C
Sleep	32		true	C
Sleep After	33		true	C
Sleep Mode	34		true	C
Illumination	35		true	C
Function Buttons	36		true	C
Reserved	37	3F	false	C
Menu	40		true	C
Menu  Pick	41		true	C
Menu Up	42		true	C
Menu Down	43		true	C
Menu Left	44		true	C
Menu Right	45		true	C
Menu Escape	46		true	C
Menu Value Increase	47		true	C
Menu Value Decrease	48		true	C
Reserved	49	5F	false	C
Data On Screen	60		true	C
Closed Caption	61		true	C
Closed Caption Select	62		true	C
VCR/TV	63		true	C
Broadcast Mode	64		true	C
Snapshot	65		true	C
Still	66		true	C
Reserved	67	7F	false	C
Selection	80		true	C
Assign Selection	81		true	C
Mode Step	82		true	C
Recall Last	83		true	C
Enter Channel	84		true	C
Order Movie	85		true	C
Channel	86		true	C
Media Selection	87		true	C
Media Select Computer	88		true	C
Media Select TV	89		true	C
Media Select WWW	8A		true	C
Media Select DVD	8B		true	C
Media Select Telephone	8C		true	C
Media Select Program Guide	8D		true	C
Media Select Video Phone	8E		true	C
Media Select Games	8F		true	C
Media Select Messages	90		true	C
Media Select CD	91		true	C
Media Select VCR	92		true	C
Media Select Tuner	93		true	C
Quit	94		true	C
Help	95		true	C
Media Select Tape	96		true	C
Media Select Cable	97		true	C
Media Select Satellite	98		true	C
Media Select Security	99		true	C
Media Select Home	9A		true	C
Media Select Call	9B		true	C
Channel Increment	9C		true	C
Channel Decrement	9D		true	C
Reserved	9E	9F	false	C
VCR Plus	A0		true	C
Once	A1		true	C
Daily	A2		true	C
Weekly	A3		true	C
Monthly	A4		true	C
Reserved	A5	AF	false	C
Play	B0		true	C
Pause	B1		true	C
Record	B2		true	C
Fast Forward	B3		true	C
Rewind	B4		true	C
Scan Next Track	B5		true	C
Scan Previous Track	B6		true	C
Stop	B7		true	C
Eject	B8		true	C
Random Play	B9		true	C
Select Disc	BA		true	C
Enter Disc	BB		true	C
Repeat	BC		true	C
Tracking	BD		true	C
Track Normal	BE		true	C
Slow Tracking	BF		true	C
Frame Forward	C0		true	C
Frame Back	C1		true	C
Mark	C2		true	C
Clear Mark	C3		true	C
Repeat From Mark	C4		true	C
Return To Mark	C5		true	C
Search Mark Forward	C6		true	C
Search Mark Backwards	C7		true	C
Counter Reset	C8		true	C
Show Counter	C9		true	C
Tracking Increment	CA		true	C
Tracking Decrement	CB		true	C
Reserved	CC	DF	false	C
Volume	E0		true	C
Balance	E1		true	C
Mute	E2		true	C
Bass	E3		true	C
Treble	E4		true	C
Bass Boost	E5		true	C
Surround Mode	E6		true	C
Loudness	E7		true	C
MPX	E8		true	C
Volume Up	E9		true	C
Volume Down	EA		true	C
Reserved	EB	EF	false	C
Speed Select	F0		true	C
Playback Speed	F1		true	C
Standard Play	F2		true	C
Long Play	F3		true	C
Extended Play	F4		true	C
Slow	F5		true	C
Reserved	F6	FF	false	C
Fan Enable	100		true	C
Fan Speed	101		true	C
Light	102		true	C
Light Illumination Level	103		true	C
Climate Control Enable	104		true	C
Room Temperature	105		true	C
Security Enable	106		true	C
Fire Alarm	107		true	C
Police Alarm	108		true	C
Reserved	109	FFFF	false	C
Undefined	0		true	D
Digitizer	1		true	D
Pen	2		true	D
Light Pen	3		true	D
Touch Screen	4		true	D
Touch Pad	5		true	D
White Board	6		true	D
Coordinate Measuring Machine	7		true	D
3-D Digitizer	8		true	D
Stereo Plotter	9		true	D
Articulated Arm	0A		true	D
Armature	0B		true	D
Multiple Point Digitizer	0C		true	D
Free Space Wand	0D		true	D
Reserved	0E	1F	false	D
Stylus	20		true	D
Puck	21		true	D
Finger	22		true	D
Reserved	23	2F	false	D
Tip Pressure	30		true	D
Barrel Pressure	31		true	D
In Range	32		true	D
Touch	33		true	D
Untouch	34		true	D
Tap	35		true	D
Quality	36		true	D
Data Valid	37		true	D
Transducer Index	38		true	D
Tablet Function Keys	39		true	D
Program Change Keys	3A		true	D
Battery Strength	3B		true	D
Invert	3C		true	D
X Tilt	3D		true	D
Y Tilt	3E		true	D
Azimuth	3F		true	D
Altitude	40		true	D
Twist	41		true	D
Tip Switch	42		true	D
Secondary Tip Switch	43		true	D
Barrel Switch	44		true	D
Eraser	45		true	D
Tablet Pick	46		true	D
Reserved	47	FFFF	false	D
Unicode Char0	0		true	10
Unicode Char1	1		true	10
Unicode Char2	2		true	10
Unicode Char3	3		true	10
Unicode Char4	4		true	10
Unicode Char5	5		true	10
Unicode Char6	6		true	10
Unicode Char7	7		true	10
Unicode Char8	8		true	10
Unicode Char9	9		true	10
Unicode Char10	A		true	10
Unicode Char11	B		true	10
Unicode Char12	C		true	10
Unicode Char13	D		true	10
Unicode Char14	E		true	10
Unicode Char15	F		true	10
Unicode Char16	10		true	10
Unicode Char17	11		true	10
Unicode Char18	12		true	10
Unicode Char19	13		true	10
Unicode Char20	14		true	10
Unicode Char21	15		true	10
